"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"RNGR","Ranger Energy Services, Inc.","7.37","112608676.84","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/rngr",
"RCON","Recon Technology, Ltd.","1.37","25044078.13","n/a","2009","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/rcon",
"REN           ","Resolute Energy Corporation","35.36","815633526.24","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ren",
"REI","Ring Energy, Inc.","14.81","894346709.49","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rei",
"ROSE","Rosehill Resources Inc.","6.89","248148944.68","n/a","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rose",
"ROSEU","Rosehill Resources Inc.","8.0099","0","n/a","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/roseu",
"ROSEW","Rosehill Resources Inc.","0.82","0","n/a","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rosew",
"RDC","Rowan Companies plc","14.87","1886846567.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rdc",
"RES","RPC, Inc.","18.17","3919709876.88","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/res",
"RSPP","RSP Permian, Inc.","47.15","7516855273.5","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rspp",
"SBR","Sabine Royalty Trust","44.1","642949114.5","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sbr",
"SAEX","SAExploration Holdings, Inc.","1.32","19677393.12","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/saex",
"SJT","San Juan Basin Royalty Trust","7.06","329058099.76","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sjt",
"SN","Sanchez Energy Corporation","3.67","311362238.49","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sn",
"SNMP","Sanchez Midstream Partners LP","12.5","189701400","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/snmp",
"SD","SandRidge Energy, Inc.","14.65","522153937.55","n/a","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sd",
"SDT","SandRidge Mississippian Trust I","0.9","25200000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdt",
"SDR","SandRidge Mississippian Trust II","1.07","53205750","n/a","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdr",
"PER","SandRidge Permian Trust","2","105000000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/per",
"SSL","Sasol Ltd.","35.79","23184753875.67","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ssl",
"SLB","Schlumberger N.V.","67.95","94175787527.1","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/slb",
"SDRL","Seadrill Limited","0.2242","113096407.576","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdrl",
"SDLP","Seadrill Partners LLC","2.74","251591184","n/a","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sdlp",
"WTTR","Select Energy Services, Inc.","13.78","1557365054.96","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/wttr",
"SEMG","Semgroup Corporation","22.8","1793744286","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/semg",
"SHLX","Shell Midstream Partners, L.P.","20.65","4621713277.65","n/a","2014","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/shlx",
"SBOW","SilverBow Resorces, Inc.","30.97","359762447.54","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sbow",
"SM","SM Energy Company","20.8","2323089932.8","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sm",
"SOI","Solaris Oilfield Infrastructure, Inc.","18.21","860848996.41","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/soi",
"SWN","Southwestern Energy Company","4.49","2635914513.34","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/swn",
"SRLP","Sprague Resources LP","23.4","531818445.6","n/a","2013","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/srlp",
"SRCI","SRC Energy Inc.","9.89","2391841284.13","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/srci",
"STO","Statoil ASA","25.51","84557890674.32","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/sto",
"SGY","Stone Energy Corporation","38.04","760750586.04","n/a","1993","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/sgy",
