"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"INDB","Independent Bank Corp.","71.55","1968037557.3","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/indb",
"IBCP","Independent Bank Corporation","22.9","489451226.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ibcp",
"IBTX","Independent Bank Group, Inc","70.7","2004044878.5","n/a","2013","Finance","Major Banks","https://www.nasdaq.com/symbol/ibtx",
"INDU","Industrea Acquisition Corp.","9.81","282037500","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/indu",
"INDUU","Industrea Acquisition Corp.","10.4","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/induu",
"INDUW","Industrea Acquisition Corp.","0.5475","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/induw",
"IPCC","Infinity Property and Casualty Corporation","118.4","1294752780.8","n/a","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ipcc",
"ING","ING Group, N.V.","16.93","65789453730.95","n/a","1997","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ing",
"ISF","ING Group, N.V.","25.83","0","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/isf",
"ISG","ING Group, N.V.","25.59","0","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/isg",
"IIPR","Innovative Industrial Properties, Inc.","26.75","94308837","n/a","2016","Finance","Real Estate","https://www.nasdaq.com/symbol/iipr",
"IBKR","Interactive Brokers Group, Inc.","67.24","27683064304.76","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ibkr",
"ICE","Intercontinental Exchange Inc.","72.52","42227983143.64","n/a","2005","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ice",
"IBOC","International Bancshares Corporation","38.9","2571183841.9","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/iboc",
"INTL","INTL FCStone Inc.","42.68","804283345.36","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/intl",
"IVZ","Invesco Plc","32.01","13032796148.46","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ivz",
"ISTR","Investar Holding Corporation","25.85","245941889.05","n/a","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/istr",
"ITG","Investment Technology Group, Inc.","19.74","653012662.68","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/itg",
"ISBC","Investors Bancorp, Inc.","13.64","4145915087.16","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/isbc",
"ITIC","Investors Title Company","199.9","376985213.1","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/itic",
"INVH","Invitation Homes Inc.","22.83","11852722831.86","n/a","2017","Finance","Real Estate","https://www.nasdaq.com/symbol/invh",
