company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
OGS,2014,6.175,69710.435,45.46,12.39,9.79,0.43,2.59,7.24,4.8,7.63,2.24,10.68,nan,nan,16.33,14.36,8.44,61.41,1.7,0.97,0.67,68.6,60.45,5.32,0.57,0.43,0.217127608
OKE,2016,4.866666667,74497.901,22.79,14.31,10.74,0.56,85.51,134.23,7.57,14.91,18.57,43.7,43.1,nan,7,8.86,21.99,98.54,0.5,0.4,41.96,30,39.5,12.16,0.72,0.56,-0.06897753
OKE,2015,5.266666667,72482.854,22.77,13.87,6.72,0.5,46,52.8,6.08,-36.34,-6.56,-22.01,-22.15,nan,15.31,6.31,13.63,97.21,0.6,0.42,24.79,31.49,45.88,11.59,0.65,0.5,1.328061638
OKE,2014,6.175,69710.435,14.86,9.45,6.72,0.74,25.85,21.44,6.2,-16.49,21.85,17.85,17.32,nan,14.59,8.54,20.12,95.02,0.55,0.38,12.15,34.35,42.1,10.63,1.02,0.74,-0.504719823
OKE,2013,7.358333333,66766.067,11.88,7.57,6.36,0.87,7.57,11.93,5.23,15.6,-15.57,-26.09,-25.73,nan,19.01,13.39,17.74,84.62,0.88,0.63,3.32,36.23,40.78,10.07,1.3,0.87,-0.085415136
OKE,2012,8.075,64621.02,14.12,9.43,8.43,0.85,7.45,16.51,6.81,-14.68,-3.39,0.01,1.79,nan,18.32,17.44,20.45,84.51,0.98,0.69,3.06,38.85,45.98,9.39,1.36,0.85,0.454448303
ORAN,2016,4.866666667,74497.901,55.32,13.18,4.84,0.44,3.08,9.53,4.54,1.7,12.9,10.67,13.04,-85.99,20.78,19.88,27.54,66.71,0.74,0.64,0.94,43.89,124.17,8.32,1.6,0.44,0.149273448
ORAN,2015,5.266666667,72482.854,56.02,13.06,7.85,0.45,2.96,8.77,4.11,2.01,-6.61,186.7,196.77,-34.75,19.31,15.65,24.28,65.3,0.66,0.54,0.96,43.04,123.77,8.48,1.66,0.45,-0.089597114
ORAN,2014,6.175,69710.435,56.27,14.11,7.44,0.45,2.99,3.43,1.47,-3.75,-20.2,-50.61,-56.34,135.64,15.49,16.36,23.2,65.73,0.72,0.63,1,41.51,140.86,8.79,1.7,0.45,-0.01713948
ORAN,2013,7.358333333,66766.067,56.16,15.63,8.74,0.47,3.53,7.7,2.99,-5.82,5.99,128.41,129.03,-64.89,14.93,15.66,26.3,70.96,0.61,0.52,1.24,40.06,154.79,9.11,1.75,0.47,0.370040486
ORAN,2012,8.075,64621.02,56.11,13.89,5.63,0.47,3.7,3.16,1.24,-3.89,-27.03,-78.95,-78.77,-47.26,15.54,17.92,28.35,72.35,0.65,0.58,1.31,40.01,151.43,9.12,1.84,0.47,0.117647059
ORA,2016,4.866666667,74497.901,18.71,6.88,6.21,1.27,2.09,11.47,9.17,12.93,24.71,28.31,28.7,35.63,2.85,34.59,26.63,52.15,1.3,0.7,0.46,44.65,52.34,8.18,2.48,1.27,0.192838493
ORA,2015,5.266666667,72482.854,18.03,6.23,5.48,1.2,2.04,9.31,7.62,28.96,nan,nan,nan,211.04,3.23,33.99,25.64,50.9,1.33,0.67,0.47,43.46,52.66,8.4,2.21,1.2,0.47024952
ORA,2014,6.175,69710.435,16.68,-4.83,-5.47,0.96,1.99,-5.38,-1.96,nan,nan,nan,nan,nan,4.18,31.04,24.2,49.83,1.28,0.63,0.47,51.94,71.18,7.03,1.74,0.96,0.341795438
PCG,2016,4.866666667,74497.901,nan,-4.04,131.66,0.37,2.15,39.9,39.06,6.42,nan,49.26,49.63,nan,0.32,30.43,18.79,20.51,2.76,2.72,nan,48.98,nan,7.45,39.71,0.37,-0.262300477
PCG,2015,5.266666667,72482.854,nan,15.38,60.31,0.58,1.37,33.05,32.21,-3.15,-3.83,87.59,84.28,nan,2.58,52.94,17.42,19.31,3.35,3.29,nan,66.37,nan,5.5,41.65,0.58,0.14250799
PCG,2014,6.175,69710.435,nan,15.49,32.76,0.71,1.24,19.69,19.25,-17.68,-46.19,-22.8,-23.34,nan,1.33,83.9,16.49,18.32,5.15,5.05,nan,63.49,nan,5.75,77.06,0.71,-0.000939144
PCG,2013,7.358333333,66766.067,nan,23.7,32.36,0.8,1.24,24.92,24.12,-21.13,-47.25,-32.33,-30.99,nan,0.62,88.89,16.77,18.37,5.38,5.3,nan,95.56,nan,3.82,119.92,0.8,0.321747766
PCG,2012,8.075,64621.02,nan,35.44,41.6,0.69,1.39,34.91,30.4,-18.46,-22.11,-42.35,-42.2,nan,0.23,88.47,24.92,26.45,3.62,3.57,nan,87.59,nan,4.17,122.07,0.69,0.0024888
PAM,2016,4.866666667,74497.901,nan,14.08,6.47,0.45,nan,nan,nan,9.46,93.77,nan,nan,nan,5.19,57.44,49.34,105.58,1.16,1.15,nan,4.93,nan,74.01,41.38,0.45,0.898419865
PAM,2015,5.266666667,72482.854,nan,7.21,-2.16,0.41,nan,nan,nan,16.57,208.21,nan,nan,nan,1.13,53.88,50.84,106.39,1.06,1.05,nan,4.08,nan,89.41,36.59,0.41,0.724574209
PAM,2014,6.175,69710.435,nan,2.82,-9.12,0.4,nan,nan,nan,12.54,nan,nan,nan,nan,4.64,46.86,47.48,105.94,0.99,0.97,nan,4.62,nan,78.97,51.96,0.4,1.050898204
