company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
HBMD,2015,5.266666667,72482.854,nan,nan,22.33,0.05,11.78,1.59,nan,-4.55,nan,-89.03,-93.55,nan,12.49,nan,nan,90.19,nan,nan,0.37,nan,nan,nan,2.57,0.05,0.125377644
HBMD,2014,6.175,69710.435,nan,nan,42.72,0.07,14.69,24.74,nan,158.05,nan,430.95,463.64,nan,4.55,nan,nan,91.37,nan,nan,0.4,nan,nan,nan,3.85,0.07,0.161403509
HBMD,2013,7.358333333,66766.067,nan,nan,18.64,0.03,13.86,5.12,nan,19.82,nan,20.97,41.94,nan,6.03,nan,nan,90.27,nan,nan,0.44,nan,nan,nan,1.68,0.03,0.210191083
HBMD,2012,8.075,64621.02,nan,nan,21.98,0.04,11.76,3.45,nan,3.92,nan,17.04,-11.43,nan,4.28,nan,nan,88.37,nan,nan,0.35,nan,nan,nan,1.5,0.04,0.471875
HBAN,2016,4.866666667,74497.901,nan,nan,26.14,0.04,10.8,8.37,nan,17.71,nan,2.72,-13.58,nan,3.42,nan,nan,89.66,nan,nan,0.9,nan,nan,nan,4.9,0.04,0.101361573
HBAN,2015,5.266666667,72482.854,nan,nan,30.57,0.04,11.44,10.88,nan,6.15,nan,9.58,12.5,nan,3.11,nan,nan,90.72,nan,nan,1.14,nan,nan,nan,4.83,0.04,0.195298373
HBAN,2014,6.175,69710.435,nan,nan,30.29,0.04,11.16,10.31,nan,4.21,nan,-0.99,nan,-890,2.09,nan,nan,90.45,nan,nan,0.95,nan,nan,nan,4.5,0.04,0.051330798
HBAN,2013,7.358333333,66766.067,nan,nan,31.98,0.05,10.41,10.92,nan,-3.77,nan,-0.36,1.41,442,3.76,nan,nan,89.74,nan,nan,0.75,nan,nan,nan,4.32,0.05,0.09015544
HBAN,2012,8.075,64621.02,nan,nan,29.56,0.05,10.39,11.67,nan,7.31,nan,18.14,20.34,nan,4.6,nan,nan,89.69,nan,nan,0.44,nan,nan,nan,4.75,0.05,0.510172144
HBANO,2016,4.866666667,74497.901,nan,nan,26.14,0.04,10.8,8.37,nan,17.71,nan,2.72,nan,nan,3.42,nan,nan,89.66,nan,nan,0.9,nan,nan,nan,4.9,0.04,0.112252964
IBKC,2016,4.866666667,74497.901,nan,nan,37.04,0.04,7.71,6.77,nan,9.27,nan,30.76,16.85,nan,1.45,nan,nan,86.43,nan,nan,0.22,nan,nan,nan,2.8,0.04,-0.074626866
IBKC,2015,5.266666667,72482.854,nan,nan,31.18,0.05,8.05,6.6,nan,27.52,nan,35.46,11.52,197,nan,nan,nan,87.19,nan,nan,0.14,nan,nan,nan,2.56,0.05,0.52079172
IBKC,2014,6.175,69710.435,nan,nan,29.82,0.04,8.51,6.23,nan,13.33,nan,61.97,50,nan,4.71,nan,nan,88.24,nan,nan,0.22,nan,nan,nan,2.13,0.04,-0.150809561
IBKC,2013,7.358333333,66766.067,nan,nan,26.98,0.04,8.73,4.17,nan,0.26,nan,-14.78,-15.06,nan,3.03,nan,nan,88.55,nan,nan,0.18,nan,nan,nan,1.89,0.04,0.031821798
IBKC,2012,8.075,64621.02,nan,nan,19.33,0.04,8.58,5.07,nan,18.64,nan,42.69,38.5,nan,5.89,nan,nan,88.35,nan,nan,0.28,nan,nan,nan,1.89,0.04,0.279519544
IBKCO,2016,4.866666667,74497.901,nan,nan,37.04,0.04,7.71,6.77,nan,9.27,nan,30.76,nan,nan,1.45,nan,nan,86.43,nan,nan,0.22,nan,nan,nan,2.8,0.04,0.058380414
IBKCP,2016,4.866666667,74497.901,nan,nan,37.04,0.04,7.71,6.77,nan,9.27,nan,30.76,nan,nan,1.45,nan,nan,86.43,nan,nan,0.22,nan,nan,nan,2.8,0.04,0.060672897
IBKCP,2015,5.266666667,72482.854,nan,nan,31.18,0.05,8.05,6.6,nan,27.52,nan,35.46,nan,197,nan,nan,nan,87.19,nan,nan,0.14,nan,nan,nan,2.56,0.05,0.030828516
IROQ,2016,4.866666667,74497.901,nan,nan,33.71,0.04,7.09,4.34,nan,11.41,nan,8.92,14.46,-214,1.01,nan,nan,85.9,nan,nan,0.8,nan,nan,nan,4.51,0.04,0.034736842
IROQ,2015,5.266666667,72482.854,nan,nan,34.15,0.03,7.01,4.03,nan,0.57,nan,-5.84,-1.19,-46,0.56,nan,nan,85.73,nan,nan,0.72,nan,nan,nan,3.83,0.03,0.027027027
ILG,2016,4.866666667,74497.901,47.12,13.64,23.89,0.59,2.11,26.51,16.02,94.43,44.37,261.45,106.35,nan,7.01,22.58,15.84,52.18,1.44,0.6,0.57,19.51,25.45,18.71,4.04,0.59,0.527077748
ILG,2015,5.266666667,72482.854,54.66,18.36,16.64,0.54,2.96,17.97,10.05,13.52,0.83,-7.11,-7.35,33.69,2.91,20.12,17.03,65.3,1.21,0.69,0.96,24.55,43.26,14.87,7.83,0.54,0.194746957
ILG,2014,6.175,69710.435,57,20.68,20.68,0.52,3.45,21.69,11.34,22.58,-4.26,-2.82,-2.86,-3.78,3.11,21.46,16.58,70.25,1.33,0.62,1.27,25.45,36.49,14.34,8.41,0.52,-0.252752513
ILG,2013,7.358333333,66766.067,64.19,26.48,25.38,0.52,2.98,26.37,15.05,5.89,20.92,99.54,97.18,45.52,2.93,15.48,19.12,65.32,0.84,0.47,0.74,26.14,25.29,13.96,8.88,0.52,-0.324166936
ILG,2012,8.075,64621.02,64.45,23.19,13.72,0.5,3.33,15.63,9.93,10.39,11.13,-1.03,nan,-21.08,3.18,23.1,19.35,69.99,1.19,0.76,0.96,22.78,24.94,16.02,9.1,0.5,0.594120681
IBCP,2016,4.866666667,74497.901,nan,nan,33.89,0.05,10.24,9.11,nan,7.04,nan,13.73,22.09,428,2.84,nan,nan,90.23,nan,nan,0.18,nan,nan,nan,2.93,0.05,0.029953917
IBCP,2015,5.266666667,72482.854,nan,nan,30.23,0.05,9.59,7.98,nan,2.14,nan,11.08,11.69,nan,3.82,nan,nan,89.58,nan,nan,0.19,nan,nan,nan,2.56,0.05,0.424819435
IBCP,2014,6.175,69710.435,nan,nan,28.72,0.05,8.98,7.48,nan,-9.17,nan,-76.75,-78.31,nan,3.85,nan,nan,88.87,nan,nan,0.19,nan,nan,nan,2.36,0.05,0.167049808
IBCP,2013,7.358333333,66766.067,nan,nan,35.27,0.06,9.54,58.13,nan,-14.98,nan,195.86,343.75,nan,6.82,nan,nan,89.52,nan,nan,0.25,nan,nan,nan,2.57,0.06,0.0875
IBCP,2012,8.075,64621.02,nan,nan,21.08,0.07,39.86,59.43,nan,2.08,nan,nan,nan,nan,3.67,nan,nan,93.33,nan,nan,1.34,nan,nan,nan,2.64,0.07,2.428571429
